Title,Year,Genre,Director,Lead Actor,Production Company,Runtime (min),Country of Origin,Original Language,Gross Revenue (million),Success
The Fighter,2010,Biography,David O. Russell,Mark Wahlberg,Paramount Pictures,116,USA,English,129.2,0
Salt,2010,Action,Phillip Noyce,Angelina Jolie,Columbia Pictures,100,USA,English,293.5,1
Megamind,2010,Animation,Tom McGrath,Will Ferrell,DreamWorks Animation,95,USA,English,321.9,1
Parasite,2019,Thriller,Bong Joon-ho,Song Kang-ho,CJ Entertainment,132,South Korea,Korean,258.8,1
The Dark Knight,2008,Action,Christopher Nolan,Christian Bale,Warner Bros.,152,USA,English,1006.0,1
Amélie,2001,Romance,Jean-Pierre Jeunet,Audrey Tautou,France 3 Cinéma,122,France,French,174.2,0
Spirited Away,2001,Animation,Hayao Miyazaki,Rumi Hiiragi,Studio Ghibli,125,Japan,Japanese,396.8,1
The Godfather,1972,Crime,Francis Ford Coppola,Marlon Brando,Paramount Pictures,175,USA,English,246.1,1
Mad Max: Fury Road,2015,Action,George Miller,Tom Hardy,Warner Bros.,120,Australia,English,379.4,1
Pan's Labyrinth,2006,Fantasy,Guillermo del Toro,Ivana Baquero,Warner Bros.,118,Mexico,Spanish,83.3,0
Neon Dreams,2021,Sci-Fi,Denis Villeneuve,Ryan Gosling,Legendary Pictures,148,Canada,English,320.7,1
Midnight Heist,2020,Action,Edgar Wright,Anya Taylor-Joy,Universal Pictures,119,UK,English,185.5,0
Whispering Winds,2019,Romance,Hirokazu Kore-eda,Sakura Ando,Studio Ghibli,106,Japan,Japanese,89.3,0
The Forgotten Code,2023,Mystery,David Fincher,Jesse Plemons,Netflix,137,USA,English,0.0,0
Eternal Echoes,2018,Fantasy,Guillermo del Toro,Maribel Verdú,Warner Bros.,126,Mexico,Spanish,195.8,0
Silent River,2017,Thriller,Park Chan-wook,Kim Min-hee,CJ Entertainment,132,South Korea,Korean,72.4,0
Laughing Shadows,2016,Comedy,Taika Waititi,Rhys Darby,Fox Searchlight,98,New Zealand,English,210.9,0
Iron Skies,2015,Action,George Miller,Tom Hardy,MGM,142,Australia,English,380.5,1
The Blue Notebook,2014,Biography,James Marsh,Kate Winslet,Pathé,118,UK,English,65.7,0
Soulbound,2020,"Animation,Adventure",Pete Docter,Jamie Foxx,Pixar,102,USA,English,314.5,1
